1575063865.564888,0
1575063865.672947,20
1575063865.784711,20
1575063865.889134,20
1575063865.994244,20
1575063866.099938,20
1575063866.206081,20
1575063866.312865,20
1575063866.418668,20
1575063866.525267,19
1575063866.642291,20
1575063866.747915,19
1575063866.853325,13
1575063866.958376,6
1575063867.067364,8
1575063867.177048,7
1575063867.283087,10
1575063867.396885,11
1575063867.503140,11
1575063867.607941,17
1575063867.717591,20
1575063867.822955,20
1575063867.928023,7
1575063868.033201,5
1575063868.138418,7
1575063868.243081,18
1575063868.347663,20
1575063868.452070,20
1575063868.557683,17
1575063868.664512,20
1575063868.770373,3
1575063868.875756,5
1575063868.984276,9
1575063869.094600,9
1575063869.199386,10
1575063869.312013,10
1575063869.422699,11
1575063869.527875,12
1575063869.633651,13
1575063869.738877,14
1575063869.844119,14
1575063869.949634,15
1575063870.054759,16
1575063870.159407,16
1575063870.264504,17
1575063870.370292,18
1575063870.475542,18
1575063870.580984,19
1575063870.686561,19
1575063870.795536,20
1575063870.904479,12
1575063871.011991,13
1575063871.123242,14
1575063871.228400,13
1575063871.333740,14
1575063871.439975,15
1575063871.544371,15
1575063871.649932,16
1575063871.766714,17
1575063871.871038,17
1575063871.976701,18
1575063872.081850,18
1575063872.187778,19
1575063872.293511,19
1575063872.400996,18
1575063872.509236,12
1575063872.622235,13
1575063872.733432,13
1575063872.838797,13
1575063872.947160,14
1575063873.052266,15
1575063873.160749,15
1575063873.265834,16
1575063873.370739,17
1575063873.475903,17
1575063873.580923,18
1575063873.685712,18
1575063873.790399,19
1575063873.895616,19
1575063874.001201,19
1575063874.109346,18
1575063874.214504,19
1575063874.319543,20
1575063874.430539,5
1575063874.539996,7
1575063874.645348,15
1575063874.754269,20
1575063874.858994,17
1575063874.964449,14
1575063875.072416,20
1575063875.177315,3
1575063875.283185,5
1575063875.388765,12
1575063875.493814,9
1575063875.598520,10
1575063875.707287,11
1575063875.812138,12
1575063875.917281,13
1575063876.022566,14
1575063876.127137,14
1575063876.233061,14
1575063876.341523,15
1575063876.453519,16
1575063876.573623,16
1575063876.678212,17
1575063876.782496,18
1575063876.888639,18
1575063876.993975,19
1575063877.099329,19
1575063877.204894,20
1575063877.309829,20
1575063877.415808,20
1575063877.520650,6
1575063877.625118,7
1575063877.730867,9
1575063877.836249,11
1575063877.941583,12
1575063878.047932,13
1575063878.153363,13
1575063878.267946,14
1575063878.376247,14
1575063878.485908,15
1575063878.591073,16
1575063878.697093,15
1575063878.802817,17
1575063878.907763,17
1575063879.013171,18
1575063879.118469,19
1575063879.223475,19
1575063879.329707,20
1575063879.434801,20
1575063879.539361,20
1575063879.643704,11
1575063879.752715,7
1575063879.856933,9
1575063879.962716,10
1575063880.069817,11
1575063880.175408,11
1575063880.279055,13
1575063880.383277,14
1575063880.489733,20
1575063880.602644,20
1575063880.707137,13
1575063880.812603,15
1575063880.917807,15
1575063881.022653,20
1575063881.127261,20
1575063881.232166,20
1575063881.337100,3
1575063881.442963,4
1575063881.547479,6
1575063881.654056,15
1575063881.758859,20
1575063881.863723,20
1575063881.968970,5
1575063882.074333,7
1575063882.178090,9
1575063882.285376,9
1575063882.394714,10
1575063882.505836,12
1575063882.616117,13
1575063882.723302,14
1575063882.828460,15
1575063882.935384,16
1575063883.041672,16
1575063883.147095,16
1575063883.252670,17
1575063883.361587,17
1575063883.468301,18
